Id,Class,Order,Brand,Model,Rarity,Stars,Max Rank,Epics,Obtainable via,Garage Lv,Top Speed,Acceleration,Handling,Nitro,Nitro TS,Perfect nitro TS,Added,Added with,Added date,Total upgrade cost,Total GL points,Country,Tags,BPs 1*,BPs 2*,BPs 3*,BPs 4*,BPs 5*,BPs 6*,Total BPs,,Cost epic
85,D,27,Porsche,Taycan Turbo S,Rare,4,2724,4,Car Hunt,24,"279,2","83,74","75,77","57,18",291,304,Porsche Season,LP car,19/03/2020,,,Germany,Electric; Europe,30,23,33,42,,,128,12724,0
67,D,28,TVR,Griffith,Rare,4,2751,4,GL05,5,"338,7","69,28","47,31","37,49",,,Tune It Up,,27/07/2019,,,UK,Europe,30,23,33,42,,,128,12751,6000
100,D,29,Bentley,Continental GT3,Rare,4,2783,4,Key Hunt,,"300,8","74,74","72,52","50,97",,,British Season,GP,27/08/2020,,,UK,Europe,KEY,26,38,64,,,128,12783,6000
77,D,30,Mazda,Furai,Rare,4,2853,4,GL06,6,"305,5","80,95","57,23","49,67",318,,Godly Beasts,,10/12/2019,,,Japan,Asia,30,23,33,42,,,128,12853,6000
237,D,31,Alfa Romeo,Giulia GTAm,Epic,5,2895,8,,,"312,2","77,28","45,17","47,09",,,Italian Revolution I,GP,19/2/2024,,,Italy,,KEY,22,30,35,38,,125,12895,
95,D,32,Chevrolet,Corvette C7.R,Epic,5,2948,8,Key Hunt,,"307,6","80,48","47,08","57,03",,,American Season,GP,30/06/2020,,,USA,,KEY,22,30,35,38,,125,12948,6000
245,D,33,Aston Martin,Vantage V12 2022,Epic,5,2968,8,,,"331,1","75,84","39,15","42,5",,,Eurobloom,GP,17/04/2024,,,UK,,KEY,22,30,35,38,,125,12968,
113,D,34,Lamborghini,Huracán Super Trofeo Evo,Epic,5,3000,8,,,"303,7","82,59","63,48","54,41",,,Full Throttle,GP,10/12/2020,,,Italy,Europe,KEY,22,30,35,38,,125,13000,0
145,D,35,Volkswagen,Electric R,Epic,5,3054,8,Clash Store,,"290,5","88,5","57,91","67,93",,,Electric Season,GP,23/09/2021,,,Germany,Electric; Europe,KEY,22,30,35,38,,125,13054,6000
185,D,36,Glickenhaus,004C,Epic,5,3075,8,Key Hunt,,"311,2","76,75","56,89","60,87",,,Around the World,GP,03/04/2022,,,USA,,KEY,22,30,35,38,,125,13075,0
225,D,37,Ford,Mustang Mach-E1400,Epic,5,3097,8,Key Hunt,,"301,2","82,87","51,83","64,82",,,New Tech Reloaded,Key hunt,25/09/2023,,,USA,,KEY,22,30,35,38,,125,13097,
10,C,38,Dodge,Challenger SRT8,Uncommon,3,1687,4,GL01,1,"308,6","71,92","39,84","46,24",,,Soft Launch,,26/02/2018,,,USA,Muscle,15,20,50,,,,85,21687,6000
11,C,39,BMW,3.0 CSL Hommage,Uncommon,3,1826,4,GL02,2,"297,4","73,39","50,08","51,2",,,Soft Launch,,26/02/2018,,,Germany,Europe,20,20,50,,,,90,21826,6000
192,C,40,Porsche,Boxster 25th,Uncommon,3,1844,4,,,"298,4","71,92","45,93","53,86",,,Winterfest,LP,12/12/2022,,,Germany,,55,38,90,,,,183,21844,
12,C,41,Chevrolet,Camaro ZL1 50th Edition,Uncommon,3,1971,4,GL02,2,271,"78,14","83,14","72,33",,,Soft Launch,,26/02/2018,,,USA,Muscle,25,20,50,,,,95,21971,6000
13,C,42,Lotus,Evora Sport 410,Uncommon,3,2123,4,GL03,3,"317,7","71,7","50,93","47,05",,,Soft Launch,,26/02/2018,,,UK,Europe,20,20,50,,,,90,22123,6000
14,C,43,Mercedes-Benz,AMG GT S,Uncommon,3,2281,4,GL04,4,"329,4","71,34","42,69","54,66",,,Soft Launch,,26/02/2018,,,Germany,Europe,30,20,50,,,,100,22281,6000
15,C,44,BMW,M4 GTS,Uncommon,3,2447,4,GL06,6,"326,5","73,72","51,19","52,48",,,Soft Launch,,26/02/2018,,,Germany,Europe,40,20,50,,,,110,22447,6000
16,C,45,Rezvani,Beast X,Rare,4,2635,4,Exclusive,,"299,5","84,62","69,2","63,68",,,Soft Launch,,26/02/2018,,,USA,,35,10,21,32,,,98,22635,6000
136,C,46,Aston Martin,V12 Speedster,Rare,4,2735,4,Showroom,42,"300,3","84,42","85,09","62,77",,,Heatwave Season,Car Hunt,01/08/2021,,,UK,Europe,50,29,38,48,,,165,22735,6000
200,C,47,Donkervoort,D8 GTO Individual Series,Rare,4,2774,4,,,313,"80,12","57,28","62,51",,,City of Lights,LP,06/02/2023,,,The Netherlands,,35,10,21,32,,,98,22747,
17,C,48,Dodge,Viper ACR,Rare,4,2816,4,GL07,7,"303,9","77,32","86,2","68,94",,,Soft Launch,,26/02/2018,,,USA,,35,10,20,32,,,97,22816,6000
163,C,49,Bolwell,MK X Nagari 500,Rare,4,2857,4,Showroom,43,"314,6","81,62","65,85","62,99",,,New Breed Rivals,Car Hunt/MP2,04/04/2022,,,Australia,Super Car,50,29,38,48,,,165,22857,6000
78,C,50,Ford,Shelby GR-1,Rare,4,2909,4,TC,42,"321,7","75,32","69,6","66,63",,,Godly Beasts,DS,10/12/2019,,,USA,,50,29,38,48,,,165,22909,6000
18,C,51,Pininfarina,H2 Speed,Rare,4,3003,4,GL08,8,"317,9","78,22","86,5","60,57",,,Soft Launch,,26/02/2018,,,Italy,Electric; Europe,35,10,20,32,,,97,23003,6000
68,C,52,Artega,Scalo Superelletra,Rare,4,3088,4,GL07,7,"316,3","85,72","57,94","71,91",,,Tune It Up,,27/07/2019,,,Germany,Electric; Europe,50,29,38,48,,,165,23088,6000
150,C,53,Saleen,S1,Rare,4,3144,4,Showroom,24,"305,3","76,74","82,8","74,07",318,326,Festive Season,DS,16/12/2021,,,USA,Super Car,50,29,38,48,,,165,23144,0
19,C,54,Acura,NSX (2017),Rare,4,3199,4,GL09,10,"323,5","84,32","63,02","54,67",,,Soft Launch,,26/02/2018,,,Japan,Asia,35,10,20,32,,,97,23199,6000
53,C,55,Maserati,Alfieri,Rare,4,3206,4,GL10,11,"335,7","74,43","41,38","72,91",,,Slipstream,,11/12/2018,,,Italy,Europe; Hybrid,35,10,20,32,,,97,23206,6000
220,C,56,Jaguar,XJR-15,Rare,4,3221,4,,,"320,4","80,82","70,91","61,06",,,Racing Through Fire,LP car,24/07/2023,,,UK,,50,29,38,48,,,165,23221,
255,C,57,Porsche,Mission R,Rare,4,3229,4,,,"312,1","87,92","63,47","62,72",,,Unite Update,DS,17/7/2024,,,Germany,,50,29,38,48,,,165,23229,
231,C,58,Mercedes-Benz,2022 Showcar Vision AMG,Rare,4,3294,4,,,"335,1","75,36","51,75","59,32",,,Festive Sparks,DS,11/12/2023,,,Germany,,50,29,38,48,,,165,23294,
176,C,59,Ferrari,Monza SP1,Rare,4,3334,4,Showroom,45,"319,1","82,32","61,88","63,25",,,Bring the Heat,LP car,25/07/2022,,,Italy,Europe,50,29,38,48,,,165,23334,0
125,C,60,ATS Automobili,Corsa RRTurbo,Rare,4,3392,4,Key Hunt,,"321,7","87,51","68,27","46,32",,,Italian Season,Unleashed,08/04/2021,,,Italy,Europe,KEY,25,38,52,,,115,23392,6000
238,C,61,Formula E,Gen 2 Asphalt Edition,Epic,5,3412,8,,,"304,6","87,43","83,66","74,04",,,Italian Revolution II,TLE,19/2/2024,,,France,,35,15,21,28,35,,134,23412,
186,C,62,Jaguar,SE XV Project 8,Epic,5,3483,8,,,"338,7","78,28","48,14","62,98",,,Around the World,LP car,03/04/2022,,,UK,,35,15,21,28,35,,134,23483,0
106,C,63,Ferrari,F40,Epic,5,3541,8,Car Hunt,,"340,6","72,88","69,32","63,5",,,Ferrari Season,Car Hunt,20/10/2020,,,Italy,Europe,35,15,21,28,35,,134,23541,6000
131,C,64,Renault,R.S. 01,Epic,5,3565,8,,,"320,7","83,68","61,38","72,01",,,European Season,GP,01/06/2021,,,France,Europe,KEY,25,32,36,41,,134,23565,0
213,C,65,Mercedes-Benz,CLK-GTR,Epic,5,3575,8,,,"332,7","78,92","70,49","57,24",,,Wanderlust and Fifth Anniversary Season,LP Car,29/05/2023,,,Germany,,35,15,21,28,35,,134,23575,
120,C,66,Acura,NSX GT3 Evo,Epic,5,3585,8,Key Hunt,,"314,4","74,29","86,13","73,76",327,345,Fire and Lightning,GP,03/02/2021,,,Japan,Asia,KEY,25,32,36,41,,134,23585,6000
56,C,67,Vencer,Sarthe,Epic,5,3638,8,GL11,11,"350,5","74,12","62,87","46,83",,,Road Kings,,30/01/2019,,,The Netherlands,Europe,35,15,21,28,35,,134,23638,6000
207,C,68,Maserati,MC12,Epic,5,3660,8,,,"342,9","76,48","72,36","38,94",,,European Season (2023),,30/03/2023,,,Italy,,KEY,25,32,36,41,,134,23660,
101,C,69,Bentley Mulliner,Bacalar,Epic,5,3665,8,,47,"340,4","77,38","67,26","55,85",,,British Season,LP car,27/08/2020,,,UK,Europe,35,15,21,28,35,,134,23665,0
246,C,70,De Tomaso,P900,Epic,5,3678,8,Car Hunt,,"335,2","81,32","60,44","59,52",,,Eurobloom,Car hunt,17/04/2024,,,Italy,,35,15,21,28,35,,134,23678,
170,C,71,Lamborghini,Miura Concept,Epic,5,3690,8,Showroom,,"346,2","72,32","54,97","60,38",,,Raging Bull Season,Looper Prix,30/05/2022,,,Italy,Europe,KEY,25,32,36,41,,134,23690,0
86,C,72,Porsche,718 Cayman GT4 Clubsport,Epic,5,3727,8,Key Hunt,,"323,6","73,44","87,24","70,55",,,Porsche Season,GP,19/03/2020,,,Germany,Europe,KEY,25,32,36,40,,133,23727,6000
96,C,73,Chevrolet,Corvette Stingray,Epic,5,3787,8,,25,"327,7","81,56","60,15","64,44",,,American Season,LP car,30/06/2020,,,USA,,35,15,21,28,35,,134,23787,0
164,C,74,Brabham,BT62,Epic,5,3817,8,,,322,"83,93","76,11","75,7",,,New Breed Rivals,SE,04/04/2022,,,Australia,,KEY,25,32,36,41,,134,23817,0
250,C,75,Maserati,MC20 GT2,Epic,5,3832,8,,,"336,3","83,68","63,95","46,53",,,Supercharged Summer,GP,27/5/2024,,,Italy,,KEY,25,32,36,41,,134,23832,
107,C,76,Ferrari,599XX Evo,Epic,5,3843,8,Key Hunt,,322,"80,98","83,65","70,81",,,Ferrari Season,GP,20/10/2020,,,Italy,Europe,KEY,25,32,36,41,,134,23843,6000
193,C,77,Ares,S1,Epic,5,3859,8,,,"307,8","89,55","78,93","68,93",?,?,Winterfest,GP,12/12/2022,,,Italy,,KEY,25,32,36,41,,134,23859,
171,C,78,Lamborghini,Diablo GT,Epic,5,3871,8,,26,"348,6","74,03","62,5","58,63",,,Raging Bull Season,Packs only,30/05/2022,,,Italy,Europe,35,15,21,28,35,,134,23871,0
69,C,79,Arrinera,Hussarya 33,Epic,5,3897,8,GL13,14,"352,1","78,53","59,47","47,71",,,Tune It Up,,27/07/2019,,,Poland,Europe,35,15,21,28,35,,134,23897,6000
177,C,80,Bugatti,EB110,Epic,5,3946,8,,,"348,4","74,12","66,08","58,15",,,Bring the Heat,GP,25/07/2022,,,France,Europe; Super Car,KEY,25,32,36,41,,134,23946,0
214,C,81,Porsche,Panamera Turbo S,Epic,5,3971,8,,,"325,3","88,03","72,48","58,56",,,Wanderlust and Fifth Anniversary Season,Key Hunt,29/05/2023,,,Germany,,KEY,25,32,36,41,,134,23971,
90,C,82,Lamborghini,Gallardo LP 560-4,Epic,5,3997,8,,48,"340,7","76,56","75,81","59,69",,,Lamborghini Season,LP car,05/05/2020,,,Italy,Europe,35,15,21,28,35,,134,23997,0
232,C,83,Ferrari,296 GTB,Epic,5,4009,8,,,"341,6","81,23",65,"52,12",,,Dragon Race,GP,11/12/2023,,,Italy,,KEY,25,32,36,41,,134,24009,
158,C,84,McLaren,GT,Epic,5,4022,8,,46,"339,1","80,98","69,09","57,31",,,British Tour,Tour,07/02/2022,,,UK,Europe; Super Car,35,15,21,28,35,,134,24022,0
201,C,85,Mercedes-Benz,AMG GT Black Series,Epic,5,4048,8,,,"335,7","81,79","60,83","65,62",,,City of Lights,GP,06/02/2023,,,Germany,,KEY,25,32,36,41,,134,24048,
239,C,86,Ferrari,Daytona SP3,Epic,5,4073,8,,,"348,8","80,46","54,89","60,3",,,Italian Revolution II,GP,19/2/2024,,,Italy,,KEY,25,32,36,41,,134,24073,
20,B,87,Porsche,911 GTS Coupé,Uncommon,3,2186,4,GL04,4,"328,8","71,21","45,85","56,6",,,Soft Launch,,26/02/2018,,,Germany,Europe; Super Car,30,30,70,,,,130,32186,8000
21,B,88,Aston Martin,DB11,Uncommon,3,2330,4,GL05,5,"340,6","74,2","43,21","55,4",,,Soft Launch,,26/02/2018,,,UK,Europe,30,30,70,,,,130,32330,8000
22,B,89,Jaguar,F-Type SVR,Rare,4,2500,8,GL05,5,341,"75,55","49,28","50,12",,,Soft Launch,,26/02/2018,,,UK,Europe,30,12,22,36,,,100,32500,8000
202,B,90,Ferrari,F50,Rare,4,2576,8,,,"338,9","73,85","43,52","61,42",,,City of Lights,LP,06/02/2023,,,Italy,,55,35,44,54,,,188,32576,
23,B,91,Exotic Rides,W70,Uncommon,3,2633,4,GL06,6,"329,7","80,21","45,2","56,71",,,Soft Launch,,26/02/2018,,,USA,,40,30,70,,,,140,32633,8000
87,B,92,Porsche,911 GT1 Evolution,Rare,4,2735,8,Car Hunt,44,"329,8","75,15","53,7","68,88",,,Porsche Season,,19/03/2020,,,Germany,Europe,55,35,44,54,,,188,32735,8000
24,B,93,Ford,GT,Rare,4,2816,8,GL07,7,"362,8","79,15","34,36","54,49",,,Soft Launch,,26/02/2018,,,USA,Super Car,35,12,24,36,,,107,32816,8000
25,B,94,Lamborghini,Asterion,Rare,4,2983,8,Daily Missions,,"336,8","81,05","45,56","68,21",,,Soft Launch,,26/02/2018,,,Italy,Europe; Super Car; Hybrid,40,12,24,36,,,112,32983,8000
256,B,95,Ford,Mustang RTR Spec 5 10th Anniv.,Rare,4,3025,8,,,"335,2","75,65","46,89","73,82",,,Unite Update,LP car,17/7/2024,,,USA,,55,35,44,54,,,188,33025,
126,B,96,Ferrari,Roma,Rare,4,3069,8,Car Hunt,22,"331,7","77,45","60,49","66,78",,,Italian Season,Car Hunt,08/04/2021,,,USA,Super Car,55,35,44,54,,,188,33069,8000
151,B,97,Arash,AF10,Rare,4,3112,8,,45,337,"78,73","50,41","59,6",,,Festive Season,LP car,16/12/2021,,,UK,Europe; Hybrid,55,35,44,54,,,188,33112,0
215,B,98,BMW,M4 GT3,Rare,4,3134,8,,,"333,3","76,46","53,36","63,69",,,Wanderlust and Fifth Anniversary Season,LP Car,29/05/2023,,,Germany,,55,35,44,54,,,188,33134,
26,B,99,Cadillac,Cien Concept,Rare,4,3155,8,Exclusive,,368,"76,55","36,14","61,1",,,Soft Launch,,26/02/2018,,,USA,Super Car,40,18,22,36,,,116,33155,8000
97,B,100,Ford,GT MK II,Rare,4,3200,8,Key Hunt,,"315,5","86,26",79,"67,88",,,American Season,GP,30/06/2020,,,USA,,KEY,35,55,85,,,175,33200,8000
240,B,101,Lamborghini,Huracán STO,Rare,4,3222,8,,,"320,3","85,88","73,05","57,09",,,Italian Revolution I,LP car,19/2/2024,,,Italy,,55,35,44,54,,,188,33222,
79,B,102,Italdesign,Zerouno,Rare,4,3245,8,GL08,8,341,"79,25","58,34","54,1",,,Godly Beasts,DS,10/12/2019,,,Italy,Europe,40,35,44,54,,,173,33245,8000
226,B,103,McLaren,Artura,Rare,4,3267,8,,,"337,7","81,05","68,33","47,34",,,New Tech,LP,25/09/2023,,,UK,,55,35,44,54,,,188,33267,
165,B,104,Arash,AF8 Falcon Edition,Rare,4,3289,8,,,"332,6","76,74","66,01","76,94",,,New Breed Rivals,Looper Prix,04/04/2022,,,UK,Europe,KEY,35,55,85,,,175,33289,0
27,B,105,Ferrari,488 GTB,Rare,4,3334,8,GL08,8,"347,6","80,24","48,38","65,84",,,Soft Launch,,26/02/2018,,,Italy,Europe; Super Car,40,12,22,36,,,110,33334,8000
208,B,106,Kepler,Motion,Rare,4,3380,8,,,"338,5","85,45","48,72","61,18",,,European Season (2023),,30/03/2023,,,USA,,55,35,44,54,,,188,33380,
146,B,107,Drako,GTE,Rare,4,3425,8,Car Hunt,25,"346,2","81,85","47,31","61,18",,,Electric Season,Car Hunt,23/09/2021,,,USA,Electric; Super Car,40,12,22,36,,,110,33425,8000
28,B,108,Glickenhaus,003S,Rare,4,3519,8,GL10,10,"368,8","79,44","38,58","63,11",,,Soft Launch,,26/02/2018,,,USA,,40,12,22,36,,,110,33519,8000
137,B,109,McLaren,Elva,Epic,5,3533,8,Car Hunt,26,"339,1","81,31","75,51","65,9",,,Heatwave Season,LP car,01/08/2021,,,UK,Europe,45,17,23,32,45,,162,33533,8000
251,B,110,Aston Martin,DB12,Epic,5,3580,8,,,"343,2","74,11","69,68","77,89",,,Supercharged Summer,LP car,27/5/2024,,,UK,,45,17,23,32,45,,162,33580,
187,B,111,Nissan,R390 GT1,Epic,5,3627,8,,,"373,5","76,72","52,63","55,45",,,Around the World,GP,03/04/2022,,,Japan,,KEY,26,34,40,62,,162,33627,0
29,B,112,Ferrari,F12tdf,Epic,5,3724,8,GL12,13,"360,5","78,38","40,13","80,18",,,Soft Launch,,26/02/2018,,,Italy,Europe; Super Car,30,9,13,21,32,,105,33724,8000
227,B,113,Maserati,MC20,Epic,5,3773,8,,,"335,7","81,63","90,79","75,84",,,Black Friday (2023),LP,25/09/2023,,,Italy,,45,17,23,32,45,,162,33773,
127,B,114,Lamborghini,Murciélago LP 640 Roadster,Epic,5,3792,8,,27,"354,1","77,54","67,18","61,13",,,Italian Season,LP car,08/04/2021,,,Italy,Europe; Super Car,45,17,23,32,45,,162,33792,0
178,B,115,McLaren,765LT,Epic,5,3821,8,,49,"349,5","80,5","70,61","62,26",,,Bring the Heat,DS,25/07/2022,,,UK,Europe; Super Car,45,17,23,32,45,,162,33821,0
257,B,116,Lamborghini,Autentica,Epic,5,3894,8,,,"366,9","78,86","47,25","68,87",,,Unite Update,GP,17/7/2024,,,Italy,,KEY,26,34,40,62,,162,33894,
30,B,117,Chevrolet,Corvette Grand Sport,Epic,5,3921,8,GL13,13,"331,2","76,55","92,99","80,87",345,,Soft Launch,,26/02/2018,,,USA,,30,9,13,21,32,,105,33921,8000
70,B,118,Aston Martin,Vantage GT12,Epic,5,3946,8,GL14,15,"337,8","78,26","86,85","80,46",352,,Tune It Up,,27/07/2019,,,UK,Europe,45,17,23,32,45,,162,33946,8000
102,B,118,Apex,AP-0,Epic,5,3946,8,Car Hunt,28,"335,1","80,96","89,37","75,16",349,358,British Season,Car Hunt,27/08/2020,,,UK,Electric; Europe,45,17,23,32,45,,162,33946,8000
114,B,120,Apollo,IE,Epic,5,3953,8,Car Hunt,46,"348,3","84,65","73,17","69,12",,,Full Throttle,LP car,10/12/2020,,,Germany,Europe; Super Car,45,17,23,32,45,,162,33953,8000
54,B,121,SIN,R1 550,Epic,5,3971,8,TC,27,"370,6","77,04","45,74",85,,,Slipstream,,11/12/2018,,,Bulgary,Europe,30,9,13,21,32,,105,33971,8000
173,B,122,Lamborghini,Reventón Roadster,Epic,5,3984,8,,,"356,3","78,35","67,65","74,41",,,Raging Bull Season,GP,30/05/2022,,,Italy,Europe,KEY,26,34,40,62,,162,33984,0
108,B,123,Ferrari,Enzo Ferrari,Epic,5,4009,8,,48,"364,8","75,29","64,95","72,26",,,Ferrari Season,LP car,20/10/2020,,,Italy,Europe,45,17,23,32,45,,162,34009,0
159,B,124,Aston Martin,One77,Epic,5,4022,8,,29,"363,5","79,34","68,7","56,61",,,British Tour,LP car,07/02/2022,,,UK,Europe; Super Car,45,17,23,32,45,,162,34022,0
57,B,125,Apollo,N,Epic,5,4047,8,GL14,14,"374,1","80,32","58,13","60,57",,,Road Kings,,30/01/2019,,,Germany,Europe,30,9,13,21,32,,105,34047,8000
60,B,126,Mercedes-Benz,SLR McLaren,Epic,5,4058,8,MP1,,"353,3","78,18","66,6","79,54",,,Carribean,SE,10/04/2019,,,Germany,Europe,45,17,23,32,45,,162,34058,8000
73,B,127,Aston Martin,DBS Superleggera,Epic,5,4059,8,GL15,16,"355,4","79,16","70,74","73,88",,,King of the Fall,,15/10/2019,,,UK,Europe,45,17,23,32,45,,162,34059,8000
128,B,128,Lamborghini,Essenza SCV12,Epic,5,4061,8,,,"340,5","85,1","75,81","74,78",,,Italian Season,GP,08/04/2021,,,Italy,Europe,KEY,26,34,40,62,,162,34061,0
247,B,129,Lamborghini,SC63,Epic,5,4062,8,,,"353,8","85,38","70,15","56,43",,,West to East,GP,17/04/2024,,,Italy,,KEY,26,34,40,62,,162,34062,
203,B,130,McLaren,600LT Spyder,Epic,5,4075,8,,,"340,5","86,11","83,17","74,54",,,Winterfest,DS,12/12/2022,,,UK,,45,17,23,32,45,,162,34075,
166,B,131,Puritalia,Berlinetta,Epic,5,4076,8,Car Hunt,47,"349,5","83,43","82,74","69,66",,,New Breed Rivals,LP car,04/04/2022,,,Italy,Europe; Hybrid,45,17,23,32,45,,162,34076,0
221,B,131,McLaren,Solus GT,Epic,5,4076,8,,,"335,4","89,3","83,12","76,83",,,Hall of Flames,GP,24/07/2023,,,UK,,KEY,26,34,40,62,,162,34076,
233,B,133,Lamborghini,Invencible,Epic,5,4091,8,,,"340,4","88,49","75,74","67,94",,,Festive Sparks,LP car,11/12/2023,,,Italy,,45,17,23,32,45,,162,34091,
59,B,134,Lamborghini,Huracán EVO Spyder,Epic,5,4109,8,GL16,18,344,"84,31","75,97","82,43",358,,Motor Show,SE,04/03/2019,,,Italy,Europe; Super Car,45,17,23,32,45,,162,34109,8000
88,B,135,Porsche,Carrera GT,Epic,5,4126,8,,50,"347,8","78,67","84,88","82,91",,,Porsche Season,SE,19/03/2020,,,Germany,Europe,45,17,23,32,45,,162,34126,0
152,B,136,Nissan,GT-R50 Italdesign,Epic,5,4153,8,,30,"349,5","86,36","73,86","64,59",,,Festive Season,DS,16/12/2021,,,Japan,Asia,45,17,23,32,45,,162,34153,0
132,B,137,Zenvo,TSR-S,Epic,5,4171,8,,,"342,4","85,38","82,88","67,36",?,?,European Season,GP,01/06/2021,,,Denmark,Europe; Hybrid,KEY,26,34,40,62,,162,34171,0
